Periodo,Trimestre,Valor
1980,1,10290879.58
1980,2,10320081.62
1980,3,10561154.16
1980,4,10891932.53
1981,1,11229886.84
1981,2,11538405.64
1981,3,11604826.3
1981,4,11729803.17
1982,1,11616894.63
1982,2,11626873.16
1982,3,11561013.33
1982,4,11281559.97
1983,1,11080619.37
1983,2,10880722.47
1983,3,10920827.75
1983,4,11067793.51
1984,1,11375656.8
1984,2,11238037.82
1984,3,11446495.6
1984,4,11430607.92
1985,1,11612093.07
1985,2,11546940.17
1985,3,11605606.66
1985,4,11581710.19
1986,1,11345667.89
1986,2,11204328.82
1986,3,11024508.09
1986,4,10952435.23
1987,1,11063181.19
1987,2,11370009.32
1987,3,11462394.48
1987,4,11560459.1
1988,1,11480960.85
1988,2,11443043.1
1988,3,11454697
1988,4,11630199.7
1989,1,11848345.97
1989,2,11833085.29
1989,3,12057397
1989,4,11928295.86
1990,1,12238101.54
1990,2,12479456.12
1990,3,12666447.57
1990,4,12788630.8
1991,1,12843454.56
1991,2,12983757.17
1991,3,13049787.36
1991,4,13282702.03
1992,1,13278477.2
1992,2,13461668.56
1992,3,13655223.94
1992,4,13651185.83
1993,1,13802938.26
1993,2,13803864.55
1993,3,13964367.44
1993,4,14052054.15
1994,1,14192961.84
1994,2,14517171.28
1994,3,14596494.13
1994,4,14753501.88
1995,1,14079213.94
1995,2,13225331.52
1995,3,13508720.91
1995,4,13817617.08
1996,1,14138391.08
1996,2,14290343.14
1996,3,14502006.23
1996,4,14961498.16
1997,1,15013395.76
1997,2,15371355.92
1997,3,15689591.06
1997,4,16131931.4
1998,1,16381893.94
1998,2,16496642.19
1998,3,16579144.88
1998,4,16608684.49
1999,1,16755894.87
1999,2,16877689.16
1999,3,17036796.14
1999,4,17207415.22
2000,1,17562071.68
2000,2,17786511.77
2000,3,17980809.43
2000,4,17778210.57
2001,1,17895081.1
2001,2,17758108.42
2001,3,17721836.94
2001,4,17568748.66
2002,1,17459226.79
2002,2,17649247.09
2002,3,17813025.69
2002,4,17851053.92
2003,1,17846063.78
2003,2,17868090.44
2003,3,17877092.89
2003,4,18039385.25
2004,1,18277012.28
2004,2,18520991.93
2004,3,18509750.62
2004,4,18707302.27
2005,1,18748763.59
2005,2,18752840.93
2005,3,18943013.87
2005,4,19294066.91
2006,1,19676167.03
2006,2,19841752.7
2006,3,19892102.17
2006,4,19963991.78
2007,1,20107079.4
2007,2,20234691.3
2007,3,20307737.24
2007,4,20359606.84
2008,1,20354106.26
2008,2,20505531.01
2008,3,20521778.6
2008,4,20197939.77
2009,1,18952309.33
2009,2,18633041.36
2009,3,19309769.01
2009,4,19731182.44
2010,1,19814163.77
2010,2,20029359.29
2010,3,20219278.57
2010,4,20386074.27
2011,1,20528680.56
2011,2,20591212.17
2011,3,20977195.85
2011,4,21128880.54
2012,1,21330424.91
2012,2,21461669.42
2012,3,21516986.56
2012,4,21684247.45
2013,1,21703434.73
2013,2,21614636.31
2013,3,21750397.57
2013,4,21857318.44
2014,1,22001548.39
2014,2,22281558.62
2014,3,22319088.45
2014,4,22508685.55
2015,1,22618509.85
2015,2,22816784.04
2015,3,23085376.42
2015,4,23017588.73
2016,1,22992150.29
2016,2,23094708.79
2016,3,23296235.44
2016,4,23556604.81
2017,1,23693966.21
2017,2,23720107.65
2017,3,23578935.59
2017,4,23908388.08
2018,1,24208911.57
2018,2,24134241.2
2018,3,24230199.2
2018,4,24186079.86
2019,1,24190817.82
2019,2,24123758.3
2019,3,24122015.5
2019,4,23947538.29
2020,1,23660840.02
2020,2,19187221.4
2020,3,22164196.1
2020,4,23122943.03
2021,1,23288550.2
2021,2,23507957.59
2021,3,23301495.88
2021,4,23574312.15
2022,1,23901537.36
2022,2,24184104.65
2022,3,24386675.8
2022,4,24671751.93
2023,1,24798271.59
2023,2,24983767.69
2023,3,25181151.9
2023,4,25202781.04
2024,1,25255205.13
2024,2,25227221.05
2024,3,25524270.9
2024,4,25275173.02
2025,1,25360618.49
2025,2,25489305.99
2025,3,25506365.19
2025,4,25726611.61
